date,Station,O3 ppb,NO ppb,NO2 ppb,NOx ppb,SO2 ppb,PM 10 ug/m3,CO ppm,wind_direction,wind speed,temperature,dewpoint_temperature,sea_level_pressure,station_pressure,relative_humidity
2017-03-22 13:00:00,S2,41,3,9,12,1.8,18,7.6,216.6666667,2.666666667,10.93333333,-2.066666667,1013.266667,842.5,40.66666667
2017-03-22 14:00:00,S2,40,3,10,13,2,16,6.9,213.3333333,2.333333333,10.26666667,-2.433333333,1013.433333,842.6,41.33333333
2017-03-22 15:00:00,S2,41,2,9,12,2,16,6.9,210,2,9.6,-2.8,1013.6,842.7,42
2017-03-22 16:00:00,S2,40,3,10,12,2.4,14,5.7,190,1.666666667,9.583333367,-2.566666667,1013.866667,843.2,43
2017-03-22 17:00:00,S2,38,3,13,16,1.8,26,8.2,170,1.333333333,9.566666733,-2.333333333,1014.133333,843.7,44
2017-03-22 18:00:00,S2,36,3,14,16,2.4,25,10.9,150,1,9.5500001,-2.1,1014.4,844.2,45
2017-03-22 19:00:00,S2,31,3,19,21,2,13,12.8,100,0.666666667,9.536666733,-0.9,1013.933333,843.9666667,51
2017-03-22 20:00:00,S2,18,3,31,35,2.8,13,6,50,0.333333333,9.523333367,0.3,1013.466667,843.7333333,57
2017-03-22 21:00:00,S2,20,3,31,34,2.5,39,15.7,0,0,9.51,1.5,1013,843.5,63
2017-03-22 22:00:00,S2,18,5,31,36,2.5,57,11,0,0,9.646666667,1.533333333,1012.833333,843.4,63
2017-03-22 23:00:00,S2,9,5,38,43,2.1,40,8,0,0,9.783333333,1.566666667,1012.666667,843.3,63
2017-03-23 00:00:00,S2,6,6,42,48,1.8,39,6,0,0,9.92,1.6,1012.5,843.2,63
2017-03-23 01:00:00,S2,8,8,37,45,1.8,26,5,6.666666667,0.333333333,10.34333333,2.133333333,1013.066667,843.4,68
2017-03-23 02:00:00,S2,19,2,27,28,2,25,6,13.33333333,0.666666667,10.76666667,2.666666667,1013.633333,843.6,73
2017-03-23 03:00:00,S2,28,1,18,19,2.4,30,10,20,1,11.19,3.2,1014.2,843.8,78
2017-03-23 04:00:00,S2,26,1,18,18,2.3,39,7,16.66666667,1,9.593333333,3.566666667,1014.4,843.9,80.66666667
2017-03-23 05:00:00,S2,32,16.3,34.1,50.6,2.3,29,8,13.33333333,1,7.996666667,3.933333333,1014.6,844,83.33333333
2017-03-23 06:00:00,S2,32,1,12,13,2.5,29,11,10,1,6.4,4.3,1014.8,844.1,86
2017-03-23 07:00:00,S2,31,1,13,13,2.1,31,16,6.666666667,0.666666667,6.233333333,4.766666667,1014.633333,843.8333333,90
2017-03-23 08:00:00,S2,28,1,14,15,2.3,27,10,3.333333333,0.333333333,6.066666667,5.233333333,1014.466667,843.5666667,94
2017-03-23 09:00:00,S2,27,1,13,14,2.4,23,19,0,0,5.9,5.7,1014.3,843.3,98
2017-03-23 10:00:00,S2,27,2,14,16,2.6,14,43,3.333333333,0.333333333,5.9,5.766666667,1014.066667,843.1,98.66666667
2017-03-23 11:00:00,S2,27,2,14,15,2.7,11,25,6.666666667,0.666666667,5.9,5.833333333,1013.833333,842.9,99.33333333
2017-03-23 12:00:00,S2,22,4,19,23,2.2,21,19,10,1,5.9,5.9,1013.6,842.7,100
2017-03-23 13:00:00,S2,26,3,16,18,2.5,34,16,6.666666667,0.666666667,5.566666667,5.566666667,1013.9,842.7333333,100
2017-03-23 14:00:00,S2,28,2,14,17,2.3,33,9,3.333333333,0.333333333,5.233333333,5.233333333,1014.2,842.7666667,100
2017-03-23 15:00:00,S2,24,3,18,21,2.3,21,16,0,0,4.9,4.9,1014.5,842.8,100
2017-03-23 16:00:00,S2,20,4,22,26,2.2,23,15,0,0,5.066666667,5.066666667,1014.633333,842.9333333,100
2017-03-23 17:00:00,S2,19,4,23,27,1.8,27,10,0,0,5.233333333,5.233333333,1014.766667,843.0666667,100
2017-03-23 18:00:00,S2,26,2,18,21,2.2,41,9,0,0,5.4,5.4,1014.9,843.2,100
2017-03-23 19:00:00,S2,23,2,21,23,1.9,40,9,10,0.333333333,5.466666667,5.466666667,1014.533333,842.8666667,100
2017-03-23 20:00:00,S2,19,2,24,26,2.2,25,8,20,0.666666667,5.533333333,5.533333333,1014.166667,842.5333333,100
2017-03-23 21:00:00,S2,12,4,31,35,1.9,33,11,30,1,5.6,5.6,1013.8,842.2,100
2017-03-23 22:00:00,S2,10,4,31,35,2.2,24,10,20,0.666666667,5.766666667,5.766666667,1013.566667,842.0666667,100
2017-03-23 23:00:00,S2,4,8,35,43,3.2,28,17,10,0.333333333,5.933333333,5.933333333,1013.333333,841.9333333,100
2017-03-24 00:00:00,S2,8.9,22,40,62,2,25,11,0,0,6.1,6.1,1013.1,841.8,100
2017-03-24 01:00:00,S2,3.8,34,40,74,2.2,17,13,0,0,6.133333333,6.133333333,1013.333333,841.9,100
2017-03-24 02:00:00,S2,3,34,39,73,2.1,12,8,0,0,6.166666667,6.166666667,1013.566667,842,100
2017-03-24 03:00:00,S2,3.2,67,45,112,2.5,22,7,0,0,6.2,6.2,1013.8,842.1,100
2017-03-24 04:00:00,S2,5.7,30,41,71,2.9,27,7,3.333333333,0.333333333,5.766666667,5.766666667,1014.1,842.2666667,100
